male_id	sample_number	date	sample_window_duration_h	sample_collection_time_s	cortisol_ng_mg_crea	testosterone_ng_mg_crea	triadic_interactions_per_h	infant_care_s_per_h	aggression_mm_per_h	david_score_norm	grooming_s_per_h	season	collection_method
A	23	2016-04-10	2.533333333333333	34320	241.9	53.2	0.39473684210526316	0	0	3.894103169885838	1035.7894736842106	non_mating	pipette
A	24	2016-04-10	5.989722222222222	51203	107.4	38.7	0.33390530074664937	0	0	3.894103169885838	511.3759680934935	non_mating	pipette
A	25	2016-04-10	5.993611111111111	70525	52.1	9.6	0	0	0.5005329749270057	3.894103169885838	192.5383510219215	non_mating	pipette
A	60	2016-04-20	1.01	28776	462.1	30.3	0	0	0	3.894103169885838	511.88118811881185	non_mating	pipette
A	62	2016-04-20	4.026388888888889	39690	168	13.9	0.24836150396688514	36.757502587099005	0.24836150396688514	3.894103169885838	391.1693687478441	non_mating	pipette
A	65	2016-04-20	5.769722222222223	56670	91.9	6.3	0	0	0.693274276635694	3.894103169885838	197.7564874103317	non_mating	pipette
A	67	2016-04-20	5.789444444444444	65572	173.5	36.5	0.5181844352749256	0	0.8636407254582094	3.894103169885838	354.2654255829575	non_mating	pipette
A	93	2016-05-01	2.6083333333333334	34623	427.1	33.3	0	0	0	3.894103169885838	0	non_mating	salivette
A	97	2016-05-01	5.9175	52429	243.2	23.4	0.1689902830587241	0	1.0139416983523446	3.894103169885838	130.2915082382763	non_mating	pipette
A	99	2016-05-01	5.9927777777777775	59700	90.5	18.5	0	0	1.1680726800778716	3.894103169885838	128.6548623342913	non_mating	pipette
A	100	2016-05-01	5.874722222222222	60570	181.3	8	0	0	1.191545699560263	3.894103169885838	139.75128847699654	non_mating	pipette
A	102	2016-05-01	5.873055555555555	70839	83.7	17.1	0.34053823960648916	0	0.5108073594097338	3.894103169885838	8.513455990162228	non_mating	pipette
A	173	2016-05-24	2.325	34290	329.6	18.2	0	0	0.8602150537634408	3.894103169885838	0	non_mating	pipette
A	175	2016-05-24	5.966111111111111	57754	109.6	19.8	0	2.3465872055126176	0.16761337182232983	3.894103169885838	369.75509824005957	non_mating	pipette
A	176	2016-05-24	5.9675	70920	28	33.3	0.5027230833682447	2.3460410557184748	0.1675743611227482	3.894103169885838	338.66778382907415	non_mating	pipette
A	242	2016-06-06	1.7666666666666666	32640	455.1	36.7	0	0	0.5660377358490566	3.894103169885838	0	non_mating	pipette
A	246	2016-06-06	5.7941666666666665	52020	99.1	12.6	0	0	1.8984610959298145	3.894103169885838	31.065727024306057	non_mating	pipette
A	280	2016-06-13	5.703333333333333	45612	673.2	17.1	0	0	1.5780245470485097	3.894103169885838	16.656925774400936	non_mating	pipette
A	282	2016-06-13	4.547777777777778	41452	202.1	10.3	0	0	0.8795504519912044	3.894103169885838	20.889323234791107	non_mating	salivette
A	283	2016-06-13	4.817777777777778	42424	515.8	12.6	0	0	1.0378228782287824	3.894103169885838	19.718634686346864	non_mating	salivette
A	285	2016-06-13	5.975	51000	455	32.1	0	0	2.175732217573222	3.894103169885838	15.89958158995816	non_mating	pipette
A	287	2016-06-13	5.971111111111111	54720	424.7	19.3	0	0	2.1771492370673613	3.894103169885838	50.07443245254931	non_mating	pipette
A	288	2016-06-13	5.873611111111111	50100	294	75	0	0	2.2132891936628045	3.894103169885838	16.174036415228187	non_mating	salivette
A	289	2016-06-13	5.97	56640	183.3	29.1	0	0	1.8425460636515913	3.894103169885838	34.17085427135679	non_mating	pipette
A	290	2016-06-13	5.887222222222222	61260	211.1	71.8	0	0	1.528734547513447	3.894103169885838	34.6513164103048	non_mating	pipette
A	291	2016-06-13	5.904166666666667	63990	343	18.3	0	0	1.3549752999294284	3.894103169885838	34.55187014820042	non_mating	pipette
A	292	2016-06-13	5.6594444444444445	70290	87.9	2.4	0.17669578875036812	0	0.5300873662511043	3.894103169885838	36.04594090507509	non_mating	pipette
A	351	2016-06-24	0.9416666666666667	31890	238	31.3	0	0	2.1238938053097347	3.894103169885838	0	non_mating	pipette
A	352	2016-06-24	5.921666666666667	50715	73.1	11.6	0.6754855052068675	0	2.8708133971291865	3.894103169885838	0	non_mating	pipette
A	405	2016-07-06	1.6655555555555555	31016	365.9	21.3	0	0	1.8012008005336893	3.894103169885838	0	non_mating	pipette
A	406	2016-07-06	4.980555555555555	42950	89.4	18.3	0.8031232571109872	0	3.0117122141662023	3.894103169885838	3.6140546569994427	non_mating	pipette
A	409	2016-07-06	5.752222222222223	69000	61.3	10.2	0.17384585667374927	10.430751400424956	0.8692292833687463	3.894103169885838	0	non_mating	pipette
A	410	2016-07-06	5.9825	56212	84.9	86.6	0.1671541997492687	0	2.0058503969912245	3.894103169885838	3.0087755954868367	non_mating	pipette
A	411	2016-07-06	5.9944444444444445	58629	122.5	55	0.16682113067655235	0	1.0009267840593141	3.894103169885838	3.0027803521779424	non_mating	pipette
A	412	2016-07-06	5.957222222222223	64200	70	28.6	0.16786347104355123	0	0.8393173552177562	3.894103169885838	0	non_mating	pipette
A	469	2016-07-22	5.034722222222222	43085	140.7	16	0.993103448275862	5.362758620689655	0.993103448275862	3.894103169885838	113.41241379310344	non_mating	pipette
A	470	2016-07-22	1.85	31620	217.3	33.1	1.6216216216216215	8.648648648648647	0.5405405405405405	3.894103169885838	308.64864864864865	non_mating	pipette
A	473	2016-07-22	5.942222222222222	61865	87.5	20	0.16828721017202694	0	0.6731488406881078	3.894103169885838	0	non_mating	pipette
A	507	2016-07-31	3.7488888888888887	38516	71.8	8.4	0.26674570243034973	0	1.066982809721399	3.894103169885838	5.868405453467695	non_mating	pipette
